ndb_no,shrt_desc,water_g,energ_kcal,protein_g,lipid_tot_g,ash_g,carbohydrt_g,fiber_td_g,sugar_tot_g,calcium_mg,iron_mg,magnesium_mg,phosphorus_mg,potassium_mg,sodium_mg,zinc_mg,copper_mg,manganese_mg,selenium_ug,vit_c_mg,thiamin_mg,riboflavin_mg,niacin_mg,panto_acid_mg,vit_b6_mg,folate_tot_ug,folic_acid_ug,food_folate_ug,folate_dfe_ug,choline_tot_mg,vit_b12_ug,vit_a_iu,vit_a_rae,retinol_ug,alpha_carot_ug,beta_carot_ug,beta_crypt_ug,lycopene_ug,lut_zea_ug,vit_e_mg,vit_d_ug,vit_d_iu,vit_k_ug,fa_sat_g,fa_mono_g,fa_poly_g,cholestrl_mg,gmwt_1,gmwt_desc1,gmwt_2,gmwt_desc2,refuse_pct
5335,"CHICK,FEET,BOILED",65.8,215,19.4,14.6,0,0.2,0,0,88,0.91,5,83,31,67,0.69,0.102,,3.6,0,0.06,0.2,0.4,,0.01,86,0,86,86,13.3,0.47,100,30,30,0,0,0,0,0,0.27,0.2,8,0.2,3.92,5.5,2.98,84,28.35,1 oz,453.6,1 lb,0
5336,"USDA CMDTY CHICK,CND,MEAT ONLY,DRND",67.29,162,27.52,5.72,0.89,0,0,0,12,1.16,22,156,189,271,1.94,0.061,0.019,24.5,0,0.051,0.171,6.505,0.755,0.266,6,0,6,6,73.8,0.23,41,12,12,0,0,0,0,0,0.27,,,2,1.572,2.047,1.313,83,135,"1 cup,  drained",142,"1 can,  (5 oz)",0
5337,"USDA CMDTY,CHICK,CND,MEAT ONLY,W/ H2O",73.31,129,22.02,4.58,1.23,0,0,0,10,0.93,18,125,151,251,1.55,0.051,0.015,19.6,0,0.041,0.137,5.204,0.604,0.213,5,0,5,5,59.1,0.18,33,10,10,0,0,0,0,0,0.21,,,1.6,1.258,1.637,1.05,67,135,"1 cup,  drained",142,"1 can,  (5 oz)",0
5338,"USDA CMDTY,CHICK,CND,MEAT ONLY,W/ BROTH",72.55,133,22.41,4.69,1.25,0.23,0,0.03,10,0.97,18,131,168,256,1.57,0.059,0.015,19.6,0,0.041,0.143,5.471,0.604,0.215,5,0,5,5,59.7,0.2,33,10,10,0,0,0,0,0,0.21,,,1.6,1.293,1.691,1.075,67,135,"1 cup,  drained",142,"1 can,  (5 oz)",0
5339,"CHICKEN,BROILER,ROTISSERIE,BBQ,WING,MEAT ONLY",62.87,184,28.34,7.79,0.98,0.54,0,0.53,32,0.97,24,264,322,725,2.05,0.066,,51.1,0,0.092,0.138,7.676,,0.184,7,0,7,7,69.5,0.39,37,11,11,0,0,0,0,0,0.37,0,0,0,2.134,3.61,1.266,134,51,1 wing,,,57
5341,"CHICKEN,BROILERS OR FRYERS,BACK,MEAT ONLY,CKD,ROTISSERIE,ORI",61.24,205,25.34,11.54,2.61,0,0,0,38,0.97,21,250,309,661,2.04,0.079,0.024,48.3,0,0.08,0.21,6,1.2,0.14,8,0,8,8,63.9,0.71,57,17,17,0,0,0,0,0,0.25,,,0,3.007,4.898,1.701,123,85,"1 serving,  (3 oz)",102,1 back,56
5342,"CKN,BRLERS/FRYERS,BRST,MT ONLY,CKD,ROTISSERIE,ORIG SEASONING",68.23,137,28,2.79,1.67,0,0,0,13,0.45,25,235,303,313,0.86,0.043,0.009,39.1,0,0.045,0.207,9.233,1.35,0.24,11,0,11,11,68.7,0.27,17,5,5,0,0,0,0,0,0.33,0,1,3.4,0.775,0.967,0.545,86,85,3 oz,483,"1 breast, breast with skin and bone",36
5343,"CHICKEN,BROILERS OR FRYERS,DRUMSTK,MEAT ONLY,CKD,ROTISSERIE,",63.05,176,28.74,6.81,1.91,0,0,0,21,1.09,24,257,301,417,2.96,0.092,0.023,38.2,0,0.067,0.237,5.958,1.333,0.19,10,0,10,10,86.1,0.49,34,10,10,0,0,0,0,0,0.3,,,0,1.594,2.855,1.041,160,53,1 drumstick,85,"1 serving,  (3oz)",41
5344,"CHICKEN,BROILERS OR FRYERS,SKN ONLY,CKD,ROTISSERIE,ORIGINAL",43.76,406,17.66,37.24,1.7,0.11,0,0.11,25,0.98,26,248,245,381,1.03,0.045,0.029,18.5,0,0.036,0.121,5.737,1.2,0.138,11,0,11,11,45.7,0.59,186,56,56,0,0,0,0,0,0.36,,,0,9.994,16.793,5.423,141,28.35,1 oz,,,0
5345,"CHICKEN,BROILERS OR FRYERS,THIGH,MEAT ONLY,CKD,ROTISSERIE,OR",63.89,196,24.06,11.09,1.56,0,0,0,13,0.97,21,217,264,337,2.01,0.084,0.018,27,0,0.055,0.233,5.433,1.262,0.176,12,0,12,12,67.9,0.45,45,13,13,0,0,0,0,0,0.25,,,0,2.866,4.878,1.673,130,89,1 thigh,85,"1 serving,  (3 oz)",29
1119,"YOGURT,VANILLA,LOFAT,11 GRAMS PROT PER 8 OZ",79,85,4.93,1.25,1.02,13.8,0,13.8,171,0.07,16,135,219,66,0.83,0.013,0.004,4.9,0.8,0.042,0.201,0.107,0.552,0.045,11,0,11,11,15.2,0.53,43,12,12,0,2,0,0,0,0.02,0,1,0.1,0.806,0.343,0.036,5,170,"1 container,  (6 oz)",227,"1 container,  (8 oz)",0
5346,"CHICKEN,BROILERS OR FRYERS,WING,MEAT ONLY,CKD,ROTISSERIE,ORI",61.13,197,27.69,9.53,2.65,0,0,0,32,0.97,24,264,322,725,2.05,0.066,0.023,51.1,0,0.09,0.135,7.5,1.3,0.18,7,0,7,7,67.9,0.38,37,11,11,0,0,0,0,0,0.28,,,0,2.223,3.766,1.323,140,53,1 wing,85,"1 serving,  (3 oz)",57
5347,"CHICKEN,BROILERS OR FRYERS,BACK,MEAT & SKN,CKD,ROTISSERIE,OR",56.44,260,23.23,18.59,2.36,0.03,0,0.03,35,0.97,23,249,291,584,1.77,0.069,0.026,40.1,0,0.068,0.185,5.928,1.2,0.139,9,0,9,9,58.9,0.68,92,28,28,0,0,0,0,0,0.28,,,0,4.924,8.162,2.723,128,102,1 back,85,"1 serving,  (3 oz)",0
5348,"CHICKEN,BROILERS OR FRYERS,BREAST,MEAT & SKN,CKD,ROTISSERIE,",63.49,184,27.48,8.18,1.72,0.02,0,0.02,15,0.55,26,255,289,347,0.92,0.043,0.017,30.6,0,0.078,0.133,9.397,1.408,0.299,11,0,11,11,61.9,0.32,41,12,12,0,0,0,0,0,0.2,,,0,2.114,3.548,1.166,96,85,"1 serving,  (3 oz)",28.35,1 oz,0
5349,"CHICKEN,BROILERS OR FRYERS,DRUMSTK,MEAT & SKN,CKD,ROTISSERIE",59.78,215,26.86,11.98,1.87,0.02,0,0.02,21,1.07,25,255,291,411,2.63,0.084,0.024,34.8,0,0.062,0.218,5.921,1.311,0.181,11,0,11,11,79.2,0.51,60,18,18,0,0,0,0,0,0.31,,,0,3.02,5.22,1.785,156,53,1 drumstick,85,"1 serving,  (3 oz)",0
5351,"CHICKEN,BROILERS OR FRYERS,THIGH,MEAT & SKN,CKD,ROTISSERIE,O",60.34,233,22.93,15.7,1.58,0.02,0,0.02,15,0.97,22,222,260,345,1.84,0.077,0.02,25.5,0,0.052,0.213,5.487,1.251,0.169,12,0,12,12,64,0.47,70,21,21,0,0,0,0,0,0.27,,,0,4.123,6.979,2.334,132,89,1 thigh,85,1 serving,0
5352,"CHICKEN,BROILERS OR FRYERS,WING,MEAT & SKN,CKD,ROTISSERIE,OR",55.34,266,24.34,18.77,2.33,0.04,0,0.04,29,0.97,24,258,296,610,1.71,0.059,0.025,40.2,0,0.072,0.13,6.912,1.267,0.166,8,0,8,8,60.5,0.45,87,26,26,0,0,0,0,0,0.3,,,0,4.814,8.109,2.69,140,53,1 wing,85,"1 serving,  (3 oz)",0
5353,"USDA CMDTY,CHICK FAJITA STRIPS,FRZ",70.6,135,18.56,5.73,2.88,2.23,0,0,13,0.99,22,277,284,799,1.37,0.03,0.066,16.7,0,0.1,0.213,4.779,0.726,0.387,4,0,4,4,67.8,0.54,0,0,5,0,0,0,0,0,0.22,,,0.2,1.596,2.333,1.089,88,9.4,1 strip,,,0
5354,"USDA CMDTY,TURKEY TACO MEAT,FRZ,CKD",70,148,16.8,7.58,2.58,3.03,0,0,69,1.8,27,180,297,632,2.52,0.03,0.165,17.9,0,0.078,0.334,2.982,0.595,0.3,25,0,25,25,53.2,2.17,0,0,0,0,0,0,0,0,0.25,,,0,1.765,2.59,2.11,71,85,3 oz,183,1 cup,0
5356,"CHICKEN,BROILER,ROTISSERIE,BBQ,SKIN",47.81,378,15.19,35.15,1.52,0.7,0,0.7,34,0.86,22,230,223,335,0.76,0.043,0.027,16.6,0,0.054,0.199,7.082,0.857,0.259,9,0,9,9,39.3,0.55,171,51,51,0,0,0,0,0,0.33,0,0,0,9.333,14.464,4.018,120,85,1 serving,,,0
5357,"CHICKEN,BROILER,ROTISSERIE,BBQ,BACK MEAT & SKN",59.41,251,20.29,18.86,1.43,0.4,0,0.4,33,0.83,19,217,254,509,1.51,0.061,0.006,35.4,0,0.065,0.185,5.621,0.201,0.153,7,0,7,7,51.4,0.6,79,24,24,0,0,0,0,0,0.26,0.1,5,0,4.953,7.895,2.507,118,85,3 oz,182,1 back,37
1120,"YOGURT,FRUIT,LOFAT,9 GRAMS PROT PER 8 OZ",75.3,99,3.98,1.15,0.93,18.64,0,18.64,138,0.06,13,109,177,53,0.67,0.079,0.064,2.8,0.6,0.034,0.162,0.086,0.446,0.037,9,0,9,9,15.2,0.43,40,11,11,0,2,0,0,0,0.02,0,1,0.1,0.742,0.316,0.033,5,170,"1 container,  (6 oz)",125,"1 container,  (4.4 oz)",0
5358,"CHICKEN,BROILER,ROTISSERIE,BBQ,BREAST MEAT & SKN",65.19,175,26.37,7.67,1.42,0.09,0,0.09,16,0.51,25,244,276,329,0.86,0.041,0.004,22.3,0,0.078,0.139,9.303,0.111,0.307,11,0,8,8,57.1,0.3,37,11,11,0,0,0,0,0,0.33,0,0,0,1.958,3.131,0.945,90,85,3 oz,384,1 breast,11
5359,"CHICKEN,BROILER,ROTISSERIE,BBQ,DRUMSTK MEAT & SKN",61.42,206,25.65,11.46,1.75,0.12,0,0.12,22,1.02,23,245,279,392,2.52,0.082,0.004,25.7,0,0.063,0.224,5.966,0.142,0.196,9,0,9,9,73.3,0.49,56,17,17,0,0,0,0,0,0.51,0,0,0,2.855,4.75,1.523,149,71,1 drumstick,,,29
5361,"CHICKEN,BROILER,ROTISSERIE,BBQ,THIGH MEAT & SKN",61.41,226,22.51,15.08,1.42,0.12,0,0.12,16,0.95,21,218,255,335,1.78,0.077,0.005,22,0,0.055,0.227,5.732,0.152,0.191,8,0,8,8,62.9,0.47,67,20,20,0,0,0,0,0,0.46,0,0,0,3.927,6.446,2.038,127,95,1 thigh,,,14
5362,"CHICKEN,BROILER,ROTISSERIE,BBQ,WING MEAT & SKN",57.23,257,23.42,18.04,1.18,0.6,0,0.6,33,0.93,23,251,285,579,1.57,0.057,0.01,38.2,0,0.078,0.161,7.454,0.321,0.212,8,0,8,8,58.2,0.45,87,26,26,0,0,0,0,0,0.12,0,0,0,4.627,7.332,2.177,129,51,1 wing,,,32
5363,"RUFFED GROUSE,BREAST MEAT,SKINLESS,RAW",72.93,112,25.94,0.88,1.07,0,0,0,5,0.58,32,229,311,50,0.51,0.058,0.016,,0,0.042,0.28,11.6,,1.275,,,,,,2.9,16,5,5,0,0,0,0,0,0.73,,,,0.13,0.042,0.132,40,113,4 oz,219,1 breast,0
5600,"USDA COMMODITY,TURKEY HAM,DK MEAT,SMOKED,FRZ",73.5,118,16.3,4,3.2,3.1,0,1.2,7,1,16,289,253,909,2.1,,,38.2,0,0.23,0.27,4.12,,0.06,,,,,,0.8,53,16,16,,,,,,,,,,1.2,1.337,0.873,64,28.35,1 oz,28,1 serving,0
5621,"EMU,GROUND,RAW",72.87,134,22.77,4.03,1,0,0,0,7,4.02,24,222,320,56,3.48,0.199,0.027,30.5,0,0.27,0.457,7.485,2.74,0.642,13,0,13,13,,6.75,0,0,0,0,0,0,0,0,0.24,,,,1.022,1.607,0.557,69,117,1 patty,,,0
5622,"EMU,GROUND,CKD,PAN-BROILED",65.83,163,28.43,4.65,1.17,0,0,0,8,5.01,29,269,375,65,4.56,0.238,0.03,43.5,0,0.318,0.545,8.925,3.08,0.833,9,0,9,9,,8.52,0,0,0,0,0,0,0,0,0.24,,,3.6,1.242,1.953,0.677,87,109,"1 patty,  (yield from 135.8 g raw meat)",85,"1 serving,  ( 3 oz )",0
5623,"EMU,FAN FILLET,RAW",74.62,103,22.5,0.8,1.1,0,0,0,3,4.5,42,236,300,120,3.5,0.211,0.029,32.5,0,0.267,0.451,7.397,2.708,0.634,13,0,13,13,,6.67,0,0,0,0,0,0,0,0,0.22,,,,0.201,0.319,0.109,71,85,"1 serving,  ( 3 oz )",513,1 fan fillet,0
5624,"EMU,FAN FILLET,CKD,BRLD",66.43,154,31.27,2.3,1.3,0,0,0,6,4.56,30,272,397,53,3.19,0.232,0.026,46.1,0,0.35,0.599,9.814,3.387,0.916,9,0,9,9,,9.37,0,0,0,0,0,0,0,0,0.23,,,,0.583,0.917,0.318,82,85,"1 serving,  ( 3 oz )",394,1 steak,0
1121,"YOGURT,FRUIT,LOFAT,10 GRAMS PROT PER 8 OZ",74.48,102,4.37,1.08,1.02,19.05,0,19.05,152,0.07,15,119,195,58,0.74,0.08,0.065,3.1,0.7,0.037,0.178,0.095,0.489,0.04,9,0,9,9,14,0.47,36,10,10,0,2,0,0,0,0.02,0,1,0.1,0.697,0.297,0.031,4,170,"1 container,  (6 oz)",245,"1 cup,  (8 fl oz)",0
5625,"EMU,FLAT FILLET,RAW",75.4,102,22.25,0.74,0.93,0,0,0,3,5,31,229,240,150,3,0.205,0.028,31.5,0,0.245,0.414,6.786,2.484,0.582,12,0,12,12,,6.12,0,0,0,0,0,0,0,0,0.22,,,,0.187,0.295,0.102,71,85,3 oz,354,1 flat fillet,0
5626,"EMU,FULL RUMP,RAW",73.79,112,22.83,1.64,1.14,0,0,0,4,4.96,40,236,330,90,3.59,0.211,0.029,32.5,0,0.36,0.458,7.504,2.747,0.643,13,0,13,13,,2.24,15,4,4,0,0,0,0,0,0.23,,,,0.448,0.516,0.329,85,85,3 oz,695,1 full rump,0
5627,"EMU,FULL RUMP,CKD,BRLD",61.97,168,33.67,2.68,1.35,0,0,0,7,6.89,34,323,324,110,4.32,0.285,0.036,52.1,0,0.43,0.645,10.569,3.647,0.987,10,0,10,10,,2.2,11,3,3,0,0,0,0,0,0.26,,,,0.87,1.079,0.613,129,85,"1 serving,  ( 3 oz )",496,"1 full rump, cooked ( yield from 695 g raw meat )",0
5628,"EMU,INSIDE DRUM,RAW",74.73,108,22.22,1.49,1.15,0,0,0,4,5.23,26,229,318,102,4.33,0.205,0.028,31.4,0,0.42,0.446,7.304,2.674,0.626,12,0,12,12,,2.26,17,5,5,0,0,0,0,0,0.22,,,,0.386,0.532,0.256,67,85,3 oz,572,1 inside drum,0
5629,"EMU,INSIDE DRUMS,CKD,BRLD",64.31,156,32.38,2.01,1.3,0,0,0,6,7.27,33,307,312,118,5.09,0.272,0.034,49.6,0,0.41,0.621,10.164,3.508,0.949,10,0,10,10,,2.4,10,3,3,0,0,0,0,0,0.25,,,,0.654,0.859,0.408,91,85,"1 serving,  ( 3 oz )",416,"1 inside drum, cooked ( yield from 572 g raw meat )",0
5630,"EMU,OUTSIDE DRUM,RAW",74.87,103,23.08,0.48,1,0,0,0,3,4.5,29,225,320,100,4.5,0.199,0.025,36.3,0,0.258,0.442,7.245,2.5,0.676,7,0,7,7,,6.92,0,0,0,0,0,0,0,0,0.17,,,,0.122,0.202,0.07,78,85,3 oz,422,1 outside drum,0
5631,"EMU,OYSTER,RAW",72.57,141,22.81,4.86,0.95,0,0,0,4,5.5,30,217,250,150,6,0.194,0.027,29.8,0,0.271,0.458,7.499,2.745,0.643,13,0,13,13,,6.76,0,0,0,0,0,0,0,0,0.24,,,,1.231,1.937,0.671,81,85,3 oz,300,1 steak,0
5632,"EMU,TOP LOIN,CKD,BRLD",67.37,152,29.07,3.13,1.27,0,0,0,9,5.07,30,274,374,58,3.42,0.28,0.031,43.5,0,0.325,0.557,9.124,3.149,0.852,9,0,9,9,,8.71,0,0,0,0,0,0,0,0,0.23,,,,0.794,1.249,0.433,88,85,"1 serving,  ( 3 oz )",244,1 steak,0
5641,"OSTRICH,GROUND,RAW",71.07,165,20.22,8.7,0.73,0,0,0,7,2.91,20,199,291,72,3.51,0.128,0.017,33,0,0.182,0.267,4.377,1.08,0.475,7,0,7,7,,4.61,0,0,0,0,0,0,0,0,0.24,,,,2.177,2.654,0.91,71,109,1 patty,435,4 patty,0
5642,"OSTRICH,GROUND,CKD,PAN-BROILED",67.12,175,26.15,7.07,0.83,0,0,0,8,3.43,23,224,323,80,4.33,0.136,0.017,33.5,0,0.213,0.268,6.557,1.21,0.501,14,0,14,14,65.7,5.74,0,0,0,0,0,0,0,0,0.24,0.1,4,3.5,1.793,2.156,0.739,83,93,1 patty,85,"1 serving,  ( 3 oz )",0
1012,"CHEESE,COTTAGE,CRMD,LRG OR SML CURD",79.79,98,11.12,4.3,1.41,3.38,0,2.67,83,0.07,8,159,104,364,0.4,0.029,0.002,9.7,0,0.027,0.163,0.099,0.557,0.046,12,0,12,12,18.4,0.43,140,37,36,0,12,0,0,0,0.08,0.1,3,0,1.718,0.778,0.123,17,113,4 oz,210,"1 cup, large curd (not packed)",0
1122,"YOGURT,FRUIT,LOFAT,11 GRAMS PROT PER 8 OZ",74.1,105,4.86,1.41,1.03,18.6,0,,169,0.07,16,133,216,65,0.82,0.08,0.065,3.1,0.7,0.041,0.198,0.105,0.544,0.045,10,0,10,10,,0.52,60,,,,,,,,,,,,0.909,0.387,0.04,6,170,"1 container,  (6 oz)",113,".5 container,  (4 oz)",0
5643,"OSTRICH,FAN,RAW",75.93,117,21.81,2.65,0.61,0,0,0,6,4.38,22,211,308,75,3.71,0.136,0.017,34.9,0,0.196,0.288,4.722,1.165,0.513,8,0,8,8,,4.97,0,0,0,0,0,0,0,0,0.2,,,,0.95,0.95,0.5,73,85,"1 serving,  ( cooked from 4oz raw)",28.35,1 oz,0
5644,"OSTRICH,INSIDE LEG,RAW",75.97,111,22.39,1.72,0.61,0,0,0,5,2.3,22,220,320,72,3.87,0.141,0.018,36.4,0,0.201,0.295,4.847,1.196,0.526,8,0,8,8,,5.1,0,0,0,0,0,0,0,0,0.2,,,,0.6,0.6,0.38,66,85,"1 serving,  ( cooked from 4 oz raw )",28.35,1 oz,0
5645,"OSTRICH,INSIDE LEG,CKD",69.95,141,29.01,1.94,0.76,0,0,0,6,3.12,25,244,352,83,4.71,0.148,0.018,36.5,0,0.237,0.298,7.274,1.342,0.555,16,0,16,16,,6.36,0,0,0,0,0,0,0,0,0.22,,,,0.7,0.67,0.32,73,85,"1 serving,  ( 3 oz )",,,0
5646,"OSTRICH,INSIDE STRIP,RAW",74.16,127,23.69,2.87,1.22,0,0,0,5,4.2,23,226,330,76,3.98,0.145,0.019,37.5,0,0.213,0.312,5.129,1.266,0.557,9,0,9,9,,5.4,0,0,0,0,0,0,0,0,0.21,,,,0.923,1.179,0.591,73,85,"1 serving,  (cooked from 4 oz raw)",28.35,1 oz,0
5647,"OSTRICH,INSIDE STRIP,CKD",66.53,164,29.37,4.26,0.85,0,0,0,5,4.8,26,253,366,73,4.9,0.153,0.019,37.9,0,0.24,0.301,7.364,1.359,0.562,16,0,16,16,,6.44,0,0,0,0,0,0,0,0,0.24,,,,1.71,1.74,0.74,97,85,"1 serving,  ( 3 oz )",,,0
5648,"OSTRICH,OUTSIDE LEG,RAW",75.59,115,22.86,1.96,0.62,0,0,0,5,2.65,23,221,322,90,3.89,0.142,0.018,36.6,0,0.205,0.302,4.949,1.221,0.537,8,0,8,8,,5.21,0,0,0,0,0,0,0,0,0.2,,,,0.61,0.59,0.43,65,85,"1 serving,  (cooked from 4 oz raw)",28.35,1 oz,0
5649,"OSTRICH,OUTSIDE STRIP,RAW",74.58,120,23.36,2.21,1.13,0,0,0,5,3.69,23,229,333,70,4.02,0.147,0.019,37.9,0,0.21,0.308,5.058,1.248,0.549,8,0,8,8,,5.33,0,0,0,0,0,0,0,0,0.21,,,,0.771,0.874,0.462,79,85,"1 serving,  (cooked from 4 oz raw)",28.35,1 oz,0
5650,"OSTRICH,OUTSIDE STRIP,CKD",66.88,156,28.55,3.83,0.83,0,0,0,5,4.3,26,254,367,72,4.91,0.154,0.019,38,0,0.233,0.293,7.158,1.321,0.546,16,0,16,16,,6.26,0,0,0,0,0,0,0,0,0.24,,,,1.43,1.59,0.44,93,85,"1 serving,  ( 3 oz )",,,0
5651,"OSTRICH,OYSTER,RAW",75.62,125,21.55,3.67,0.62,0,0,0,6,3.86,21,204,297,83,3.59,0.131,0.017,33.8,0,0.194,0.284,4.665,1.151,0.507,8,0,8,8,,4.91,0,0,0,0,0,0,0,0,0.2,,,,1.22,1.25,0.61,73,85,"1 serving,  ( cooked from 4 oz raw)",28.35,1 oz,0
5652,"OSTRICH,OYSTER,CKD",67.55,159,28.81,3.97,0.82,0,0,0,6,4.9,29,281,409,81,4.94,0.18,0.023,46.5,0,0.235,0.296,7.224,1.333,0.551,16,0,16,16,,6.32,0,0,0,0,0,0,0,0,0.23,,,,1.69,1.45,0.51,90,85,"1 serving,  ( 3 oz )",,,0
1123,"EGG,WHL,RAW,FRSH",76.15,143,12.56,9.51,1.06,0.72,0,0.37,56,1.75,12,198,138,142,1.29,0.072,0.028,30.7,0,0.04,0.457,0.075,1.533,0.17,47,0,47,47,293.8,0.89,540,160,160,0,0,9,0,503,1.05,2,82,0.3,3.126,3.658,1.911,372,50,1 large,56,1 extra large,12
5653,"OSTRICH,RND,RAW",75.68,116,21.99,2.4,0.62,0,0,0,5,3.54,22,216,315,72,3.8,0.139,0.018,35.8,0,0.198,0.29,4.761,1.175,0.517,8,0,8,8,,5.01,0,0,0,0,0,0,0,0,0.2,,,,0.81,0.85,0.52,71,85,"1 serving,  (cooked from 4 oz raw)",28.35,1 oz,0
5654,"OSTRICH,TENDERLOIN,RAW",74.5,123,22.07,3.19,0.73,0,0,0,6,4.88,22,220,320,86,3.87,0.141,0.018,36.4,0,0.198,0.291,4.778,1.179,0.519,8,0,8,8,,5.03,0,0,0,0,0,0,0,0,0.21,,,,1.17,1.23,0.75,80,85,"1 serving,  (cooked from 4 oz raw)",456,1 lb,0
5655,"OSTRICH,TIP RAW",76.12,114,21.85,2.3,0.61,0,0,0,5,2.86,22,213,310,67,3.74,0.137,0.018,35.2,0,0.196,0.288,4.73,1.167,0.514,8,0,8,8,,4.98,0,0,0,0,0,0,0,0,0.2,,,,0.86,0.79,0.45,72,85,"1 serving,  ( cooked from 4 oz raw)",28.35,1 oz,0
5656,"OSTRICH,TIP CKD",68.51,145,28.49,2.57,0.83,0,0,0,6,2.79,25,251,362,80,4.85,0.152,0.019,37.5,0,0.232,0.292,7.143,1.318,0.545,15,0,15,15,,6.25,0,0,0,0,0,0,0,0,0.23,,,,1,0.97,0.44,85,85,"1 serving,  ( 3 oz )",,,0
5657,"OSTRICH,TOP LOIN,RAW",75.35,119,21.67,2.95,0.73,0,0,0,6,3.13,22,214,312,81,3.76,0.137,0.018,35.4,0,0.195,0.286,4.691,1.158,0.509,8,0,8,8,,4.94,0,0,0,0,0,0,0,0,0.2,,,,1.2,1.06,0.58,75,85,"1 serving,  (cooked from 4 oz raw)",28.35,1 oz,0
5658,"OSTRICH,TOP LOIN,CKD",67.95,155,28.12,3.87,0.83,0,0,0,6,3.31,25,245,353,77,4.72,0.148,0.018,36.6,0,0.229,0.289,7.051,1.301,0.538,15,0,15,15,,6.17,0,0,0,0,0,0,0,0,0.23,,,3.4,1.32,1.27,0.38,93,85,"1 serving,  ( 3 oz )",,,0
5661,"CHICKEN,LIVER,ALL CLASSES,CKD,PAN-FRIED",65.22,172,25.78,6.43,1.47,1.11,0,0,10,12.88,27,442,315,92,4.01,0.535,0.375,88.2,2.7,0.292,2.313,13.925,8.315,0.84,560,0,560,560,326.8,21.13,14378,4296,4293,11,31,11,25,0,0.77,,,0,2.033,1.387,1.265,564,44,1 liver,28.35,1 oz,0
5662,"GROUND TURKEY,FAT FREE,RAW",74.66,112,23.57,1.95,1.15,0,0,0,3,0.77,29,227,295,51,1.76,0.058,0.006,22.1,0,0.062,0.105,9.708,0.88,0.857,8,0,8,8,47.9,0.51,25,7,7,0,0,0,0,0,0.07,0.4,14,0,0.487,0.512,0.594,55,85,"1 patty,  (cooked from 4 oz raw)",28.35,1 oz,0
5663,"GROUND TURKEY,FAT FREE,PAN-BROILED CRUMBLES",65.76,151,31.69,2.71,1.42,0,0,0,6,1.02,35,290,357,61,2.2,0.067,0.006,31.4,0,0.082,0.135,12.55,0.96,1.08,8,0,8,8,64.4,0.7,30,9,9,0,0,0,0,0,0.1,0.2,8,0,0.717,0.751,0.843,71,85,3 oz,,,0
5664,"GROUND TURKEY,FAT FREE,PATTIES,BRLD",68.4,138,28.99,2.48,1.29,0,0,0,6,0.78,35,264,339,59,2.19,0.061,0.006,28,0,0.067,0.145,10.707,0.9,0.908,7,0,7,7,58.9,0.67,25,8,8,0,0,0,0,0,0.09,0.2,8,0,0.673,0.713,0.759,65,85,1 patty,28.35,1 oz,0
1124,"EGG,WHITE,RAW,FRESH",87.57,52,10.9,0.17,0.63,0.73,0,0.71,7,0.08,11,15,163,166,0.03,0.023,0.011,20,0,0.004,0.439,0.105,0.19,0.005,4,0,4,4,1.1,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,1 large,243,1 cup,0
5665,"GROUND TURKEY,93% LN,7% FAT,RAW",72.63,150,18.73,8.34,0.92,0,0,0,21,1.17,21,193,213,69,2.53,0.107,0.008,19,0,0.067,0.185,5.417,1,0.35,7,0,7,7,53,1.2,73,22,22,0,0,0,0,0,0.11,0.4,14,0,2.17,2.843,2.537,74,28.35,1 oz,453,1 lb,0
5666,"GROUND TURKEY,93% LN,7% FAT,PAN-BROILED CRUMBLES",61.05,213,27.1,11.6,1.27,0,0,0,31,1.56,29,259,304,90,3.77,0.166,0.01,28.4,0,0.088,0.262,8.095,1.4,0.497,7,0,7,7,78.7,1.9,101,30,30,0,0,0,0,0,0.18,0.2,8,0,2.966,3.895,3.562,104,85,3 oz,,,0
5667,"GROUND TURKEY,93% LN,7% FAT,PATTIES,BRLD",62.42,207,25.86,11.45,1.07,0,0,0,29,1.73,25,210,247,91,3.71,0.161,0.011,27.5,0,0.08,0.232,6.64,1.3,0.471,7,0,7,7,77.7,1.8,105,31,31,0,0,0,0,0,0.13,0.2,8,0,2.958,3.875,3.545,106,85,3 oz,,,0
5668,"GROUND TURKEY,85% LN,15% FAT,RAW",69.74,180,16.9,12.54,0.96,0,0,0,33,1.32,19,179,202,54,2.75,0.123,0.009,24.6,0,0.067,0.177,5.075,1.1,0.485,6,0,6,6,51.6,1.3,101,30,30,0,0,0,0,0,0.08,0.4,14,0,3.414,4.551,3.485,78,85,"1 patty,  (cooked from 4 oz raw)",28.35,1 oz,0
5669,"GROUND TURKEY,85% LN,15% FAT,PAN-BROILED CRUMBLES",56.66,258,25.11,17.45,1.32,0,0,0,49,1.98,28,263,276,85,3.56,0.194,0.015,36.1,0,0.08,0.26,7.72,1.4,0.462,7,0,7,7,76.7,1.6,117,35,35,0,0,0,0,0,0.09,0.2,8,0,4.572,6.05,4.624,106,85,3 oz,,,0
